"Episode" "Title" "Restaurant" "Location" "Original Air Date"
"2" "1" "Classics" "Mac & Ernie's" "Tarpley, Texas" "April 23, 2007"
"3" "1" "Classics" "Brint's Diner" "Wichita, Kansas" "April 23, 2007"
"4" "1" "Classics" "Mad Greek's Diner" "Baker, California" "April 23, 2007"
"5" "2" "That's Italian" "Pizza Palace" "Knoxville, Tennessee" "April 30, 2007"
"6" "2" "That's Italian" "Hullabaloo Diner" "Wellborn, Texas" "April 30, 2007"
"7" "2" "That's Italian" "Four Kegs Sports Pub" "Las Vegas, Nevada" "April 30, 2007"
"8" "3" "Blue Plate Special" "Patrick's Roadhouse" "Santa Monica, California" "May 7, 2007"
"9" "3" "Blue Plate Special" "Frosted Mug" "Alsip, Illinois" "May 7, 2007"
"10" "3" "Blue Plate Special" "The Penguin" "Charlotte, North Carolina" "May 7, 2007"
"11" "4" "Breakfast" "Frank's Diner" "Kenosha, Wisconsin" "May 21, 2007"
"12" "4" "Breakfast" "Gaffey Street Diner" "San Pedro, California" "May 21, 2007"
"13" "4" "Breakfast" "The Coffee Cup" "Boulder City, Nevada" "May 21, 2007"
"14" "5" "BBQ" "Baby Blues BBQ" "Venice, California" "May 28, 2007"
"15" "5" "BBQ" "Louie Mueller BBQ" "Taylor, Texas" "May 28, 2007"
"16" "5" "BBQ" "Barbecue King Drive-In" "Charlotte, North Carolina" "May 28, 2007"
"17" "6" "Local Legends" "Eveready Diner" "Hyde Park, New York" "June 4, 2007"
"18" "6" "Local Legends" "Leo's BBQ" "Oklahoma City, Oklahoma" "June 4, 2007"
"19" "6" "Local Legends" "A1 Diner" "Gardiner, Maine" "June 4, 2007"
"20" "7" "Burgers" "Triple XXX Restaurant" "West Lafayette, Indiana" "June 11, 2007"
"21" "7" "Burgers" "Hackney's" "Glenview, Illinois" "June 11, 2007"
"22" "7" "Burgers" "Squeeze Inn" "Sacramento, California" "June 11, 2007"
"23" "8" "House Specials" "Red Arrow Diner" "Manchester, New Hampshire" "June 18, 2007"
"24" "8" "House Specials" "Hank's Creekside Restaurant" "Santa Rosa, California" "June 18, 2007"
"25" "8" "House Specials" "Voula's Offshore Café" "Seattle, Washington" "June 18, 2007"
"26" "9" "Retro" "Southside Soda Shop and Diner" "Goshen, Indiana" "July 9, 2007"
"27" "9" "Retro" "Taylor's Automatic Refresher" "St. Helena, California" "July 9, 2007"
